dialogue_id,utterance,utterance_de_deepl,speaker,utterance_len,label
3,"Yeah! It's fine, it's fine. Robbie's gonna be here for hours.","(Ross) Ja! Es ist gut, es ist gut. Robbie wird für Stunden hier sein.",Barry Farber,11,neutral
3,Huh?!,Huh?!,Robbie,1,scared
3,"So, how ya doin?","Also, wie geht's dir?",Barry Farber,4,peaceful
3,I'm- uh- I'm okay... You look great!,Mir... mir geht's gut... Du siehst toll aus.,Rachel Green,7,sad
3,"Yeah, well..","Ja, nun...",Barry Farber,2,neutral
3,"Dr. Farber, Jason Greenstein's gagging.","Dr. Farber, Jason Greenstein ist am Würgen.",Bernice,5,neutral
3,Be right there. Be back in a sec.,Bin gleich da. Bin gleich wieder da.,Barry Farber,8,neutral
3,I dumped him.,Ich habe ihn abserviert.,Rachel Green,3,sad
3,Okay.,Ich habe ihn abserviert. Okay.,Robbie,1,neutral
4,"So, um- so how's this, uh, how's this gonna work? Y'know, with us? Y'know, when, like, important decisions have to be made?","Also... wie soll das funktionieren? Du weißt schon, mit uns? Du weißt schon, wenn wichtige Entscheidungen getroffen werden müssen?",Ross Geller,22,scared
4,Give me a 'for instance'.,Gib mir ein Beispiel.,Carol Willick,5,mad
4,"Well, uh, uh, I don't know, okay, okay, how about with the, uh, with the baby's name?",Wie wäre es mit dem Namen des Babys?,Ross Geller,17,scared
4,Marlon-,Marlon.,Carol Willick,1,powerful
4,Marlon?!,Marlon?!,Ross Geller,1,mad
4,"-if it's a boy, Minnie if it's a girl.","-...wenn es ein Junge ist, Minnie, wenn es ein Mädchen ist.",Carol Willick,9,powerful
4,...As in Mouse?,...wie in Maus?,Ross Geller,3,mad
4,As in my grandmother.,Wie in meiner Großmutter.,Carol Willick,4,neutral
4,"Still, you- you say Minnie, you hear Mouse. Um, how about, um.. how about Julia?","Trotzdem, wenn du Minnie sagst, hörst du Maus. Ähm, wie wäre es mit Julia?",Ross Geller,15,scared
4,Julia..,Julia...,Carol Willick,1,neutral
4,We agreed on Minnie.,Wir haben uns auf Minnie geeinigt.,Susan Bunch,4,powerful
4,"'S'funny, um, uh, we agreed we'd spend the rest of our lives together. Things change, roll with the punches. I believe Julia's on the table..?","Komisch, wir waren uns einig, dass wir den Rest unseres Lebens zusammen verbringen. Die Dinge ändern sich, man muss mit der Zeit gehen. Ich glaube, Julia ist auf dem Tisch...?",Ross Geller,25,powerful
5,Sorry about that. So. What have you been up to?,"Entschuldige bitte. Also, was hast du so gemacht? Was hast du so getrieben?",Barry Farber,10,neutral
5,"Oh, not much. I-I got a job.","Oh, nicht viel. Ich... ich habe einen Job.",Rachel Green,7,scared
5,"Oh, that's great.","Oh, das ist toll.",Barry Farber,3,joyful
5,Why are- why are you so tanned?,Warum bist du so braun gebrannt?,Rachel Green,7,scared
5,"Oh, I, uh- I went to Aruba.","Oh, ich war auf Aruba.",Barry Farber,7,scared
5,Oh no. You went on our honeymoon alone?,Ich war auf Aruba. Oh nein. Du warst allein in den Flitterwochen?,Rachel Green,8,mad
5,"No. I went with, uh.. Now, this may hurt.","Nein, ich war mit... Das könnte jetzt wehtun.",Barry Farber,9,neutral
5,Me?!,Mit mir?!,Robbie,1,neutral
5,No! I went with Mindy.,Nein! Ich war mit Mindy da.,Barry Farber,5,scared
5,"Mindy?! My maid of honour, Mindy?!","Mindy?! Meine Trauzeugin, Mindy?!",Rachel Green,6,mad
5,"Yeah, well, uh, we're kind of a thing now.","Ja, also, wir sind jetzt so eine Art Paar.",Barry Farber,9,scared
5,"Oh! Well, um.. You've got plugs!","Oh! Nun, ähm... du hast da Steckdosen!",Rachel Green,6,mad
5,Careful! They haven't quite taken yet.,Vorsichtig! Sie sind noch nicht ganz angewachsen.,Barry Farber,6,mad
5,And you've got lenses! But you hate sticking your finger in your eye!,"Und du hast Linsen! Aber du hasst es, deinen Finger in dein Auge zu stecken!",Rachel Green,13,mad
5,"Not for her. Listen, I really wanted to thank you.","Nicht für sie. Hör zu, ich wollte dir wirklich danken.",Barry Farber,10,peaceful
5,Okay..,Okay...,Rachel Green,1,mad
5,"See, about a month ago, I wanted to hurt you. More than I've ever wanted to hurt anyone in my life. And I'm an orthodontist.","Weißt du, vor einem Monat wollte ich dir wehtun. Mehr als ich jemals jemandem in meinem Leben wehtun wollte. Und ich bin ein Kieferorthopäde.",Barry Farber,25,neutral
5,Wow.,Und ich bin Kieferorthopäde. Wow.,Rachel Green,1,scared
5,"You know, you were right? I mean, I thought we were happy. We weren't happy. But with Mindy, now I'm happy. Spit.","Weißt du, du hattest recht? Ich meine, ich dachte, wir wären glücklich. Wir waren nicht glücklich. Aber mit Mindy, jetzt bin ich glücklich. Spucke.",Barry Farber,22,joyful
5,What?,Und was?,Rachel Green,1,scared
5,Me.,Auf mich.,Robbie,1,sad
5,"Anyway, um, I guess this belongs to you. And thank you for giving it to me.","Wie auch immer, ich schätze, das gehört dir. Und danke, dass du es mir gegeben hast.",Rachel Green,16,sad
5,"Well, thank you for giving it back.","Nun, danke, dass du es mir zurückgegeben hast.",Barry Farber,7,sad
5,Hello?!,Hallo?!,Robbie,1,scared
6,"Oh, please! What's wrong with Helen?","Oh, bitte! Was ist los mit Helen?",Susan Bunch,6,mad
6,Helen Geller? I don't think so.,"Helen Geller? Ich glaube nicht, dass es so ist.",Ross Geller,6,mad
6,Hello? It's not gonna be Helen Geller.,Hallo? Es ist nicht gonna be Helen Geller.,Carol Willick,7,powerful
6,Thank you!,Ich danke euch!,Ross Geller,2,powerful
6,"No, I mean it's not Geller.","Nein, ich meine, es ist nicht Geller.",Carol Willick,6,powerful
6,"What, it's gonna be Helen Willick?","Was, wird es Helen Willick sein?",Ross Geller,6,mad
6,"No, actually, um, we talked about Helen Willick-Bunch.","Nein, eigentlich haben wir über Helen Willick-Bunch gesprochen.",Carol Willick,8,neutral
6,"Well, wait a minute, wha- why is she in the title?","Moment mal, wieso ist sie im Titel?",Ross Geller,11,mad
6,It's my baby too.,Es ist auch mein Baby.,Susan Bunch,4,powerful
6,"Oh, 's'funny, really? Um, I don't remember you making any sperm.","Oh, das ist lustig, wirklich? Ich kann mich nicht erinnern, dass du Sperma gemacht hast.",Ross Geller,11,mad
6,"Yeah, and we all know what a challenge that is!","Ja, und wir alle wissen, was das für eine Herausforderung ist!",Susan Bunch,10,mad
6,"All right, you two, stop it!","Okay, ihr zwei, hört auf damit!",Carol Willick,6,mad
6,"No no no, she gets a credit, hey, I'm in there too.","Nein, nein, nein, sie bekommt einen Kredit, hey, ich bin auch da drin.",Ross Geller,12,mad
6,Ross. You're not actually suggesting Helen Willick-Bunch-Geller? 'Cause I think that borders on child abuse.,"Ross. Du schlägst doch nicht etwa Helen Willick-Bunch-Geller vor? Denn ich denke, das grenzt an Kindesmissbrauch.",Carol Willick,15,neutral
6,"Of course not, I'm... suggesting Geller-Willick-Bunch.","Natürlich nicht, ich... schlage Geller-Willick-Bunch vor.",Ross Geller,6,powerful
6,"Oh, no, nonononono, you see what he's doing? He knows no-one's gonna say all those names, so they'll wind up calling her Geller, then he gets his way!","Oh, nein, nonononono, siehst du, was er macht? Er weiß, dass niemand all diese Namen aussprechen wird, also werden sie sie Geller nennen, dann bekommt er seinen Weg!",Susan Bunch,28,mad
6,"My way?! You-you think this is my way? Believe me, of all the ways I ever imagined this moment in my life being, this is not my way- y'know what? Uh, um, this is too hard. I'm not, I can't do-","Meinen Weg?! Du-du denkst das ist mein Weg? Glauben Sie mir, von allen Möglichkeiten, die ich mir für diesen Moment in meinem Leben vorgestellt habe, ist das nicht meine Art. Äh, ähm, das ist zu schwer. Ich bin nicht... Ich kann nicht...",Ross Geller,41,mad
6,Knock knock!How are we today? Any nausea?,"Klopf, klopf! Wie geht es uns heute? Irgendwelche Übelkeit?",Dr. Oberman,7,neutral
6,Yeah. Yeah. A little.,"Ja, ja. Ja, ja, ja. Ein wenig.",#ALL#,4,neutral
6,"Well, I was just wondering about the mother-to-be, but.. thanks for sharing. Uh, lie back..","Nun, ich habe mich nur über die werdende Mutter gewundert, aber... danke für die Mitteilung. Uh, leg dich zurück..",Dr. Oberman,15,neutral
6,"You- uh- y'know what, I'm gonna go. I don't- I don't think I can be involved in this particular thing right now.","Du... uh... weißt du was, ich werde gehen. Ich glaube nicht, dass ich jetzt in diese Sache verwickelt werden kann.",Ross Geller,22,sad
6,Oh my God.,"Oh, mein Gott. Sieh dir das an.",Ross Geller,3,joyful
6,Look at that.,Sieh dir das an.,Susan Bunch,3,joyful
6,I know.,"Ich weiß, ich weiß.",Carol Willick,2,joyful
7,Well? Isn't that amazing?,Was ist? Ist das nicht erstaunlich?,Ross Geller,4,joyful
7,What are we supposed to be seeing here?,Was sollen wir denn hier sehen?,Joey Tribbiani,8,neutral
7,"I dunno, but.. I think it's about to attack the Enterprise.","Keine Ahnung, aber... ich glaube, es greift gleich die Enterprise an.",Chandler Bing,11,joyful
7,"You know, if you tilt your head to the left, and relax your eyes, it kinda looks like an old potato.","Wenn du deinen Kopf nach links neigst und deine Augen entspannst, sieht es aus wie eine alte Kartoffel.",Phoebe Buffay,21,joyful
7,"Then don't do that, alright?","Dann tun Sie das nicht, okay?",Ross Geller,5,mad
7,Okay!,"Okay, okay.",Phoebe Buffay,1,neutral
7,Monica. Whaddya think?,Monica. Was denkst du?,Ross Geller,3,neutral
7,Mm-hmm.,Mmh.,Monica Geller,1,sad
7,Wh- are you welling up?,Was... kommen dir die Tränen?,Ross Geller,5,neutral
7,No.,Nein.,Monica Geller,1,neutral
7,"You are, you're welling up.","Doch, dir laufen die Tränen hoch.",Ross Geller,5,powerful
7,Am not!,Tu ich nicht!,Monica Geller,2,mad
7,You're gonna be an aunt.,Du wirst eine Tante sein.,Ross Geller,5,joyful
7,Oh shut up!,"Ach, halt die Klappe!",Monica Geller,3,joyful
7,"Hi, Mindy. Hi, it-it's Rachel. Yeah, I'm fine. I-I saw Barry today. Oh, yeah, yeah he-he told me. No, no, it's okay. I hope you two are very happy, I really do. Oh, oh, and Mind, y'know, if-if everything works out, and you guys end up getting married and having kids- and everything- I just hope they have his old hairline and your old nose. Okay, I know it was a cheap shot, but I feel so much better now.","Hi, Mindy. Hi, ich bin's, Rachel. Ja, mir geht's gut. Ich habe Barry heute gesehen. Oh, ja, ja, er hat es mir erzählt. Nein, nein, ist schon okay. Ich hoffe, dass ihr zwei sehr glücklich seid, das hoffe ich wirklich. Wenn alles klappt und ihr heiratet und Kinder bekommt, dann hoffe ich, dass sie seinen alten Haaransatz und deine alte Nase haben. Okay, ich weiß, das war ein billiger Versuch, aber ich fühle mich jetzt viel besser.",Rachel Green,80,mad
8,Hi guys!,Hallo Jungs!,Phoebe Buffay,2,joyful
8,"Hey, Pheebs! Hi!","Hey, Pheebs! Hi!",#ALL#,3,joyful
8,"Hey. Oh, oh, how'd it go?","Hey. Oh, oh, wie ist es gelaufen?",Ross Geller,6,joyful
8,"Um, not so good. He walked me to the subway and said 'We should do this again!'","Ähm, nicht so gut. Er begleitete mich zur U-Bahn und sagte: ""Das sollten wir wiederholen!",Phoebe Buffay,17,sad
8,Ohh. Ouch.,Ohh. Autsch.,#ALL#,2,sad
8,"What? He said 'we should do it again', that's good, right?","Was? Er sagte: ""Wir sollten es wiederholen"", das ist doch gut, oder?",Rachel Green,11,neutral
8,"Uh, no. Loosely translated 'We should do this again' means 'You will never see me naked'.","Äh, nein. Frei übersetzt bedeutet ""Wir sollten das wiederholen"": ""Du wirst mich nie nackt sehen"".",Monica Geller,16,neutral
8,Since when?,Seit wann?,Rachel Green,2,neutral
8,"Since always. It's like dating language. Y'know, like 'It's not you' means 'It is you'.","Seit immer. Das ist wie Dating-Sprache. Du weißt schon, so wie ""Es liegt nicht an dir"" ""Es liegt an dir"" bedeutet.",Joey Tribbiani,15,neutral
8,Or 'You're such a nice guy' means 'I'm gonna be dating leather-wearing alcoholics and complaining about them to you'.,"Oder ""Du bist so ein netter Kerl"" bedeutet ""Ich werde mich mit ledertragenden Alkoholikern treffen und mich bei dir über sie beschweren"".",Chandler Bing,19,neutral
8,"Or, or, y'know, um, 'I think we should see other people' means 'Ha, ha, I already am'.","Oder, oder, du weißt schon, ähm, ""Ich denke, wir sollten uns mit anderen Leuten treffen"" bedeutet ""Ha, ha, das tue ich bereits"".",Phoebe Buffay,17,mad
8,And everybody knows this?,Und das weiß jeder?,Rachel Green,4,neutral
8,Yeah. Cushions the blow.,"Ja, genau. Polstert den Schlag.",Joey Tribbiani,4,neutral
8,"Yeah, it's like when you're a kid, and your parents put your dog to sleep, and they tell you it went off to live on some farm.","Ja, das ist so, wie wenn du ein Kind bist und deine Eltern deinen Hund einschläfern lassen und sie dir sagen, dass er auf einem Bauernhof leben wird.",Chandler Bing,27,neutral
8,"That's funny, that, no, because, uh, our parents actually did, uh, send our dog off to live on a farm.","Das ist lustig, dass, nein, weil, äh, unsere Eltern haben tatsächlich, äh, senden Sie unseren Hund weg, um auf einem Bauernhof zu leben.",Ross Geller,20,neutral
8,"Uh, Ross.","Äh, Ross.",Monica Geller,2,neutral
8,"What? Wh- hello? The Millners' farm in Connecticut? The Millners, they had this unbelievable farm, they had horses, and, and rabbits that he could chase and it was- it w- .....Oh my God, Chi Chi!","Was ist? Was, hallo? Die Farm der Millners in Connecticut? Die Millners hatten diese unglaubliche Farm, sie hatten Pferde und Kaninchen, die er jagen konnte, und es war... .....Oh mein Gott, Chi Chi!",Ross Geller,35,scared
9,"""So how does it feel knowing you're about to die?""","""Wie fühlt es sich an, wenn man weiß, dass man bald sterben wird?""",Chandler Bing,10,neutral
9,"""Warden, in five minutes my pain will be over. But you'll have to live with the knowledge that you sent an honest man to die.""","""Aufseherin, in fünf Minuten sind meine Schmerzen vorbei. Aber du wirst mit dem Wissen leben müssen, dass du einen ehrlichen Mann in den Tod geschickt hast.""",Joey Tribbiani,25,peaceful
9,"Hey, that was really good!","Hey, das war wirklich gut!",Chandler Bing,5,joyful
9,Thanks! Let's keep going.,Das war wirklich gut! Danke! Lass uns weitermachen.,Joey Tribbiani,4,powerful
9,"Okay. ""So. Whaddya want from me, Damone, huh?""","Okay. ""Also. Was willst du von mir, Damone, hm?""",Chandler Bing,8,neutral
9,"""I just wanna go back to my cell. 'Cause in my cell, I can smoke.""","""Ich will nur zurück in meine Zelle. ""In meiner Zelle kann ich rauchen.""",Joey Tribbiani,15,neutral
9,"""Smoke away.""","""Rauchen Sie ruhig.""",Chandler Bing,2,neutral
9,I think this is probably why Damone smokes in his cell alone.,"Ich glaube, das ist der Grund, warum Damone allein in seiner Zelle raucht.",Chandler Bing,12,neutral
9,What?,Was ist das?,Joey Tribbiani,1,scared
9,Relax your hand!,Entspann deine Hand!,Chandler Bing,3,powerful
9,Not so much!,Nicht so viel!,Chandler Bing,3,powerful
9,Whoah!,Whoah!,Joey Tribbiani,1,scared
9,Hey!,He! He!,Chandler Bing,1,powerful
9,Hey!,"Hey, hey!",Joey Tribbiani,1,powerful
9,"Alright, now try taking a puff.","Also gut, jetzt versuch mal zu paffen.",Chandler Bing,6,neutral
9,Alright.. okay. No. Give it to me.,Na gut... okay. Nein. Geben Sie sie mir.,Chandler Bing,7,neutral
9,"No no no, I am not giving you a cigarette.","Nein, nein, nein, ich werde dir keine Zigarette geben.",Joey Tribbiani,10,neutral
9,"It's fine, it's fine. Look, do you wanna get this part, or not? Here.","Ist schon gut, ist schon gut. Willst du das Teil nun haben oder nicht? Hier, nimm.",Chandler Bing,14,powerful
9,"Don't think of it as a cigarette. Think of it as the thing that's been missing from your hand. When you're holding it, you feel right. You feel complete.","Sieh es nicht als Zigarette an. Betrachten Sie es als das, was Ihnen in der Hand fehlt. Wenn du sie in der Hand hältst, fühlst du dich richtig. Du fühlst dich vollständig.",Chandler Bing,29,powerful
9,Y'miss it?,Vermisst du sie?,Joey Tribbiani,2,neutral
9,"Nah, not so much. Alright, now we smoke. Oh.. my.. God.","Nein, nicht so sehr. Okay, jetzt rauchen wir. Oh... mein... Gott.",Chandler Bing,11,scared
10,Hi.. how was the game?,Hi. Wie war das Spiel?,Monica Geller,5,neutral
10,Well..,Na ja...,Ross Geller,1,neutral
10,WE WON!! Thank you! Yes!,"WIR HABEN GEWONNEN!! Ja, danke. Ja!",#ALL#,5,joyful
10,Fantastic! I have one question: How is that possible?,Fantastisch! Ich habe nur eine Frage: Wie ist das möglich?,Monica Geller,9,joyful
10,Alan.,Alan.,Joey Tribbiani,1,neutral
10,"He was unbelievable. He was like that-that-that Bugs Bunny cartoon where Bugs is playing all the positions, right, but instead of Bugs it was first base-Alan, second base-Alan, third base-...","Er war unfassbar. Er war wie in diesem Bugs-Bunny-Cartoon, wo Bugs alle Positionen spielt, aber statt Bugs war es First Base-Alan, Second Base-Alan, Third Base-...",Ross Geller,30,joyful
10,"I mean, it-it was like, it was like he made us into a team.","Ich meine, es war, als hätte er uns zu einem Team gemacht.",Rachel Green,14,sad
10,"Yep, we sure showed those Hassidic jewellers a thing or two about softball..","Ja, wir haben diesen chassidischen Juwelieren gezeigt, was Softball ist.",Chandler Bing,13,joyful
10,Can I ask you guys a question? D'you ever think that Alan is maybe.. sometimes..,"Kann ich euch Jungs eine Frage stellen? Habt ihr jemals daran gedacht, dass Alan vielleicht... manchmal...",Monica Geller,15,scared
10,What?,was?,Ross Geller,1,neutral
10,"..I dunno, a little too Alan?","...ich weiß nicht, ein bisschen zu Alan ist?",Monica Geller,6,neutral
10,"Well, no. That's impossible. You can never be too Alan.","Nun, nein. Das ist unmöglich. Du kannst nie zu sehr Alan sein.",Rachel Green,10,mad
10,"Yeah, it's his, uh, innate Alan-ness that-that-that we adore.","Ja, es ist seine, äh, angeborene Alan-Natur, die wir verehren.",Ross Geller,9,joyful
10,I personally could have a gallon of Alan.,Ich persönlich könnte eine Gallone von Alan haben.,Chandler Bing,8,joyful
11,"Hey, Lizzie.","Hey, Lizzie.",Phoebe Buffay,2,neutral
11,"Hey, Weird Girl.","Hey, Weird Girl.",Lizzy,3,neutral
11,I brought you alphabet soup.,Ich habe dir Buchstabensuppe mitgebracht.,Phoebe Buffay,5,neutral
11,Did you pick out the vowels?,Hast du die Vokale rausgesucht?,Lizzy,6,neutral
11,"Yes. But I left in the Ys. 'Cause, y'know, ""sometimes y"". Uh, I also have something else for you.","Ja. Aber ich habe die Ys drin gelassen. Weil, du weißt schon, ""manchmal y"". Äh, ich habe auch noch etwas anderes für dich.",Phoebe Buffay,19,neutral
11,Saltines?,Saltines?,Lizzy,1,neutral
11,"No, but would you like a thousand dollars and a football phone?","Nein, aber hättest du gerne 1000 Dollar und ein Football-Telefon?",Phoebe Buffay,12,neutral
11,"What? Oh my God, there's really money in here.","Was ist das? Oh mein Gott, da ist wirklich Geld drin.",Lizzy,9,joyful
11,I know.,"Ja, ich weiß.",Phoebe Buffay,2,neutral
11,"Weird Girl, what are you doing?","Weird Girl, was machst du da?",Lizzy,6,neutral
11,"No, I want you to have it. I don't want it.","Nein, ich will, dass du es bekommst. Ich will es nicht.",Phoebe Buffay,11,neutral
11,"No, no, I ha-I have to give you something.","Nein, nein, ich muss dir etwas geben.",Lizzy,9,neutral
11,"Oh, that's fine, no.","Oh, das ist in Ordnung, nein.",Phoebe Buffay,4,neutral
11,Would you like my tin-foil hat?,Willst du meinen Hut aus Alufolie?,Lizzy,6,joyful
11,"No. 'Cause you need that. No, it's okay, thanks.","Nein. Den brauchst du nämlich. Nein, ist schon okay, danke.",Phoebe Buffay,9,neutral
11,"Please, let me do something.","Bitte, lass mich etwas tun.",Lizzy,5,neutral
11,"Okay, alright, you buy me a soda, and then we're even. Okay?","Okay, gut, du kaufst mir eine Limo und dann sind wir quitt. Dann sind wir quitt, okay?",Phoebe Buffay,12,neutral
11,Okay.,"Okay, okay.",Lizzy,1,neutral
11,Okay.,Okay? Okay.,Phoebe Buffay,1,neutral
12,A thumb?!,Ein Daumen?!,Ross Geller,2,neutral
12,Eww!,Igitt!,#ALL#,1,scared
12,"I know! I know, I opened it up and there it was, just floating in there, like this tiny little hitch-hiker!","Ich weiß, ich weiß! Ich weiß, ich habe ihn aufgemacht und da war er, er schwebte da drin, wie ein winzig kleiner Anhalter!",Phoebe Buffay,21,mad
12,"Well, maybe it's a contest, y'know? Like, collect all five?","Nun, vielleicht ist es ein Wettbewerb, weißt du? Wie, alle fünf zu sammeln?",Chandler Bing,10,neutral
12,"Does, um, anyone wanna see?",Möchte es jemand sehen?,Phoebe Buffay,5,neutral
12,Nooo!,Neeein!,#ALL#,1,scared
12,"Oh, hey, don't do that! Cut it out!","Oh, hey, lasst das sein! Hör auf damit!",#ALL#,8,scared
12,It's worse than the thumb!,Das ist schlimmer als der Daumen!,Rachel Green,5,scared
12,"Hey, this is so unfair!","Hey, das ist so unfair!",Chandler Bing,5,neutral
12,"Oh, why is it unfair?","Oh, warum ist es ungerecht?",Monica Geller,5,neutral
12,"So I have a flaw! Big deal! Like Joey's constant knuckle-cracking isn't annoying? And Ross, with his over-pronouncing every single word? And Monica, with that snort when she laughs? I mean, what the hell is that thing? ...I accept all those flaws, why can't you accept me for this?","Also habe ich einen Makel! Große Sache! Wie Joeys ständige Knöchel-Knacken ist nicht ärgerlich? Und Ross, mit seiner Über-Aussprache jedes einzelne Wort? Und Monica, mit diesem Schnauben, wenn sie lacht? Ich meine, was zum Teufel ist das? ... Ich akzeptiere alle diese Fehler, warum können Sie nicht akzeptieren, mich für diese?",Chandler Bing,49,scared
12,...Does the knuckle-cracking bother everybody?,...Stört das Knöchelknacken jeden?,Joey Tribbiani,5,sad
12,"Well, I-I could live without it.","Nun, ich könnte ohne es leben.",Rachel Green,6,neutral
12,"Well, is it, like, a little annoying, or is it like when Phoebe chews her hair?","Ist es eher lästig, oder ist es so, wie wenn Phoebe auf ihren Haaren kaut?",Joey Tribbiani,16,neutral
