,utterance,utterance_de,utterance_de_deepl,speaker,emotion,sentiment,dialogue_id,utterance_id,season,episode,starttime,endtime
15,You know? Forget it!,Wissen Sie? Vergiss es!,Du weißt es? Vergiss es!,Rachel,sadness,negative,1,1,9,23,"00:36:44,368","00:36:46,578"
16,"No-no-no-no, no! Who, who were you talking about?","Nein nein Nein Nein Nein! Von wem, von wem hast du gesprochen?","Nein, nein, nein, nein, nein! Von wem, von wem hast du gesprochen?",Joey,surprise,negative,1,2,9,23,"00:36:44,368","00:36:49,122"
17,"No, I-I-I-I don't, I actually don't know","Nein, ich-ich-ich-ich weiß nicht, ich weiß es eigentlich nicht","Nein, ich weiß es nicht. Ich weiß es wirklich nicht.",Rachel,fear,negative,1,3,9,23,"00:36:49,290","00:36:51,791"
18,Ok!,OK!,Okay!,Joey,neutral,neutral,1,4,9,23,"00:36:52,376","00:36:53,543"
19,"All right, well...","Alles klar, gut...","Na gut, also...",Joey,neutral,neutral,1,5,9,23,"00:36:53,545","00:36:55,000"
20,"Yeah, sure!",Ja sicher!,"Ja, klar!",Rachel,neutral,neutral,1,8,9,23,"0:36:59,425","0:37:01,439"
21,"Hey, Mon.","Hallo, Mo.","Hey, Mon.",Chandler,neutral,neutral,2,0,3,6,"00:05:50,350","00:05:51,433"
22,Hey-hey-hey. You wanna hear something that sucks.,"Hey Hey Hey. Du willst etwas hören, das nervt.","Hey-hey-hey. Du willst etwas hören, das scheiße ist.",Monica,neutral,neutral,2,1,3,6,"0:05:52,435","0:05:53,897"
23,Do I ever.,Habe ich jemals.,Will ich immer.,Chandler,joy,positive,2,2,3,6,"0:05:53,897","0:05:55,743"
24,Chris says they’re closing down the bar.,"Chris sagt, dass sie die Bar schließen.","Chris sagt, sie machen die Bar zu.",Monica,sadness,negative,2,3,3,6,"0:05:57,023","0:05:58,734"
25,No way!,Auf keinen Fall!,Das gibt's doch nicht!,Chandler,surprise,negative,2,4,3,6,"0:05:58,734","0:05:59,774"
26,"Yeah, apparently they’re turning it into some kinda coffee place.","Ja, anscheinend verwandeln sie es in eine Art Kaffeehaus.","Ja, anscheinend machen sie daraus eine Art Kaffee-Laden.",Monica,neutral,neutral,2,5,3,6,"00:05:59,942","00:06:02,152"
27,Just coffee! Where are we gonna hang out now?,Nur Kaffee! Wo werden wir jetzt rumhängen?,Nur Kaffee! Wo werden wir jetzt abhängen?,Chandler,disgust,negative,2,6,3,6,"00:06:02,362","00:06:07,157"
28,Got me.,Hast mich.,Ich bin dabei.,Monica,sadness,negative,2,7,3,6,"00:06:04,489","00:06:07,157"
29,Can I get a beer.,Kann ich ein Bier bekommen.,Kann ich ein Bier bekommen.,Chandler,neutral,neutral,2,8,3,6,"0:06:07,367","0:06:08,035"
30,"Hey, did you pick a roommate?","Hey, hast du dir einen Mitbewohner ausgesucht?","Hey, hast du dir eine Mitbewohnerin ausgesucht?",Monica,neutral,neutral,2,9,3,6,"0:06:08,035","0:06:10,019"
31,You betcha!,Darauf kannst du wetten!,Darauf kannst du wetten!,Chandler,joy,positive,2,10,3,6,"0:06:10,161","0:06:10,973"
32,Is it the Italian guy?,Ist es der Italiener?,Ist es der italienische Typ?,Monica,neutral,neutral,2,11,3,6,"0:06:10,973","0:06:12,167"
33,"Um-mm, yeah right!","Ähm-mm, ja richtig!","Ähm-mm, ja klar!",Chandler,joy,positive,2,12,3,6,"00:06:12,288","00:06:13,497"
34,"Oh my God, oh my God! Poor Monica!",Oh mein Gott oh mein Gott! Arme Monika!,"Oh mein Gott, oh mein Gott! Die arme Monica!",Phoebe,surprise,negative,3,0,3,12,"00:10:16,115","00:10:18,450"
35,"What, what, what?!",Was was Was?!,"Was, was, was?!",Chandler,surprise,negative,3,1,3,12,"0:10:18,618","0:10:19,750"
36,What?!,Was?!,Was?!,Phoebe,surprise,negative,3,2,3,12,"0:10:19,750","0:10:20,966"
37,He was with her when he wrote this poem.,"Er war bei ihr, als er dieses Gedicht schrieb.","Er war mit ihr zusammen, als er dieses Gedicht schrieb.",Phoebe,neutral,neutral,3,3,3,12,"00:10:21,078","00:10:23,496"
38,"Look,  'My vessel so empty with nothing inside.","Schau: 'Mein Gefäß ist so leer, mit nichts drin.","Schau, 'Mein Gefäß so leer, mit nichts darin.",Phoebe,neutral,neutral,3,4,3,12,"00:10:23,664","00:10:26,499"
39,"Now that I've touched you, you seem emptier still.'","Jetzt, wo ich dich berührt habe, scheinst du noch leerer zu sein.'","Jetzt, wo ich dich berührt habe, scheinst du noch leerer zu sein.'",Phoebe,neutral,neutral,3,5,3,12,"00:10:26,667","00:10:29,586"
40,"He thinks Monica is empty, she is the empty vase!","Er denkt, Monica ist leer, sie ist die leere Vase!","Er denkt, Monica ist leer, sie ist die leere Vase!",Phoebe,surprise,negative,3,6,3,12,"00:10:29,754","00:10:32,672"
41,"Oh, totally. Oh, God, oh, she seemed so happy too.","Ach, total. Oh, Gott, oh, sie schien auch so glücklich zu sein.","Oh, total. Oh, Gott, oh, sie schien auch so glücklich.",Phoebe,sadness,negative,3,8,3,12,"00:10:36,385","00:10:39,137"
42,Done.,Getan.,Erledigt.,Joey,neutral,neutral,3,9,3,12,"00:10:39,680","00:10:41,181"
43,Hey!,Hallo!,Hey!,Rachel,surprise,positive,4,0,3,11,"0:20:23,931","0:20:24,891"
44,Hi!,Hallo!,Hi!,Ross,joy,positive,4,1,3,11,"0:20:24,891","0:20:25,028"
45,What are you doing here?,Was machst du hier?,Was machst du denn hier?,Rachel,surprise,positive,4,2,3,11,"00:20:25,140","00:20:26,265"
46,"Ah y'know, this building is on my paper route so I...","Ach weißt du, dieses Gebäude liegt auf meiner Papierroute, also...","Ah, weißt du, dieses Gebäude liegt auf meiner Zeitungsroute, also habe ich...",Ross,neutral,neutral,4,3,3,11,"00:20:26,433","00:20:29,185"
47,Oh.,Oh.,Oh...,Rachel,neutral,neutral,4,4,3,11,"0:20:29,394","0:20:30,771"
48,Hi.,Hallo.,Hi.,Ross,neutral,neutral,4,5,3,11,"0:20:30,771","0:20:30,873"
49,Hi.,Hallo.,Hi.,Rachel,neutral,neutral,4,6,3,11,"0:20:30,873","0:20:31,135"
50,How’d did it go?,Wie ist es gelaufen?,Wie ist es gelaufen?,Ross,neutral,neutral,4,7,3,11,"00:20:31,188","00:20:32,230"
51,"Oh well, the woman I interviewed with was pretty tough, but y'know thank God Mark coached me, because once I started talking about the fall line, she got all happy and wouldn’t shut up.","Na ja, die Frau, mit der ich interviewt habe, war ziemlich hart, aber Gott sei Dank hat Mark mich trainiert, denn als ich anfing, über die Falllinie zu sprechen, war sie ganz glücklich und wollte nicht den Mund halten.","Die Frau, mit der ich mich unterhalten habe, war ziemlich hart, aber Gott sei Dank hat Mark mich gecoacht, denn als ich anfing, über die Falllinie zu reden, wurde sie ganz glücklich und wollte nicht mehr aufhören.",Rachel,joy,positive,4,8,3,11,"00:20:32,397","00:20:40,446"
52,I’m so proud of you.,Ich bin so stolz auf dich.,Ich bin so stolz auf dich.,Ross,joy,positive,4,9,3,11,"0:20:40,614","0:20:41,991"
53,Me too!,Ich auch!,Ich auch!,Rachel,joy,positive,4,10,3,11,"0:20:41,991","0:20:43,543"
54,"Listen, I’m ah, I’m sorry I’ve been so crazy and jealous and, it’s just that I like you a lot, so...","Hör zu, es tut mir leid, dass ich so verrückt und eifersüchtig war, und ich mag dich nur sehr, also...","Es tut mir leid, dass ich so verrückt und eifersüchtig war. Ich mag dich sehr, also...",Ross,sadness,negative,4,11,3,11,"00:20:44,284","00:20:53,584"
55,I know.,Ich weiß.,"Ja, ich weiß.",Rachel,neutral,neutral,4,12,3,11,"00:20:53,752","00:20:54,794"
56,Yeah.,Ja.,Ich weiß. Ja.,Ross,neutral,neutral,4,13,3,11,"0:20:54,962","0:20:55,380"
57,Yeah.,Ja.,"Ja, ich weiß.",Rachel,neutral,neutral,4,14,3,11,"0:20:55,380","0:20:56,057"
58,Ameri-can.,Amerikanisch.,Ameri-kann.,Phoebe,neutral,neutral,5,0,3,15,"0:22:18,545","0:22:20,297"
59,Ameri-ccan.,Amerikanisch.,Ameri-ccan.,Joey,neutral,neutral,5,1,3,15,"0:22:20,297","0:22:20,476"
60,Ameri-can. Y'know it’s a,"Amerikanisch. Weißt du, es ist ein","Ameri-can. Ihr wisst, es ist ein",Phoebe,neutral,neutral,5,2,3,15,"00:22:20,589","00:22:23,507"
61,Everybody!!,Jeder!!,Alle!!,Sergei,surprise,positive,5,3,3,15,"00:22:25,844","00:22:28,679"
62,Good job Joe! Well done! Top notch!,"Gute Arbeit, Joe! Gut gemacht! Erstklassig, spitzenmäßig!","Gut gemacht, Joe! Gut gemacht! Erste Sahne!",Chandler,joy,positive,6,0,8,22,"00:12:24,315","00:12:27,526"
63,You liked it? You really liked it?,Du mochtest es? Hat es dir wirklich gut gefallen?,Es hat dir gefallen? Du hast es wirklich gemocht?,Joey,surprise,positive,6,1,8,22,"0:12:28,194","0:12:29,796"
64,"Oh-ho-ho, yeah!","Oh-ho-ho, ja!","Oh-ho-ho, ja!",Chandler,joy,positive,6,2,8,22,"0:12:29,796","0:12:31,501"
65,Which part exactly?,Welches Teil genau?,Welcher Teil genau?,Joey,neutral,neutral,6,3,8,22,"0:12:31,655","0:12:33,657"
66,The whole thing! Can we go?,Das ganze Ding! Können wir gehen?,Die ganze Sache! Können wir gehen?,Chandler,neutral,neutral,6,4,8,22,"0:12:33,657","0:12:36,243"
67,"Oh no-no-no, give me some specifics.","Oh nein-nein-nein, gib mir ein paar Einzelheiten.","Oh nein, nein, nein, gib mir ein paar Einzelheiten.",Joey,anger,negative,6,5,8,22,"00:12:36,368","00:12:38,746"
68,"I love the specifics, the specifics were the best part!","Ich liebe die Besonderheiten, die Besonderheiten waren das Beste!","Ich liebe die Details, die Details waren das Beste daran!",Chandler,joy,positive,6,6,8,22,"00:12:38,954","00:12:43,000"
69,"Hey, what about the scene with the kangaroo? Did-did you like that part?","Hey, was ist mit der Szene mit dem Känguru? Hat dir dieser Teil gefallen?","Hey, was ist mit der Szene mit dem Känguru? Hat dir der Teil gefallen?",Joey,neutral,neutral,6,7,8,22,"00:12:43,209","00:12:48,255"
70,I was surprised to see a kangaroo in a World War I epic.,"Ich war überrascht, ein Känguru in einem Epos des Ersten Weltkriegs zu sehen.","Ich war überrascht, ein Känguru in einem Epos über den Ersten Weltkrieg zu sehen.",Chandler,surprise,negative,6,8,8,22,"00:12:49,298","00:12:54,929"
71,You fell asleep!!,Du bist eingeschlafen!!,Du bist eingeschlafen!!,Joey,anger,negative,6,9,8,22,"00:12:55,930","00:12:56,931"
72,There was no kangaroo!,Es gab kein Känguru!,Es gab kein Känguru!,Joey,anger,negative,6,10,8,22,"0:12:58,432","0:12:59,809"
73,They didn’t take any of my suggestions!,Sie haben keinen meiner Vorschläge angenommen!,Sie haben keinen meiner Vorschläge angenommen!,Joey,anger,negative,6,11,8,22,"0:12:59,809","0:13:03,196"
74,That’s for coming buddy.,Das ist für den kommenden Kumpel.,"Das ist fürs Kommen, Kumpel.",Joey,neutral,neutral,6,12,8,22,"0:13:05,940","0:13:07,242"
75,I’ll see you later.,Wir sehen uns später.,Wir sehen uns später.,Joey,neutral,neutral,6,13,8,22,"0:13:07,242","0:13:08,202"
76,Don’t go!,Geh nicht!,Gehen Sie nicht!,Chandler,sadness,negative,6,14,8,22,"0:13:08,202","0:13:08,804"
77,I’m sorry.,Es tut mir Leid.,Es tut mir so leid.,Chandler,sadness,negative,6,15,8,22,"0:13:08,804","0:13:09,526"
78,I’m so sorry!,Es tut mir Leid!,Es tut mir so leid!,Chandler,sadness,negative,6,16,8,22,"0:13:09,526","0:13:10,832"
79,Look!,Aussehen!,Sieh mal!,Chandler,surprise,negative,6,17,8,22,"0:13:10,945","0:13:11,407"
80,This guy fell asleep!,Dieser Typ ist eingeschlafen!,Der Typ ist eingeschlafen!,Chandler,anger,negative,6,18,8,22,"0:13:11,407","0:13:12,589"
81,He fell asleep too!,Er ist auch eingeschlafen!,Er ist auch eingeschlafen!,Chandler,anger,negative,6,19,8,22,"0:13:12,589","0:13:13,215"
82,Be mad at him!,Sei sauer auf ihn!,Seien Sie böse auf ihn!,Chandler,anger,negative,6,20,8,22,"0:13:13,215","0:13:14,108"
83,"Or, call an ambulance.",Oder rufen Sie einen Krankenwagen.,"Oder, rufen Sie einen Krankenwagen.",Chandler,anger,negative,6,21,8,22,"00:13:16,367","00:13:18,244"
84,"Okay, look, I think we have to tell Rachel she messed up her dessert.","Okay, schau, ich glaube, wir müssen Rachel sagen, dass sie ihr Dessert vermasselt hat.","Okay, schau, ich denke, wir müssen Rachel sagen, dass sie ihren Nachtisch versaut hat.",Joey,neutral,neutral,7,0,6,9,"00:12:51,020","00:12:53,897"
85,"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!","Was?! Was ist mit allen? Es ist Thanksgiving, nicht ... Tag der Wahrheit!","Was?! Was ist mit euch allen los? Es ist Thanksgiving, nicht... der Tag der Wahrheit!",Ross,anger,negative,7,1,6,9,"00:12:54,106","00:12:58,193"
86,"Yes, and it is my dying wish to have that ring.","Ja, und es ist mein sterbender Wunsch, diesen Ring zu haben.","Ja, und es ist mein letzter Wunsch, diesen Ring zu bekommen.",Phoebe,neutral,neutral,8,0,6,23,"00:19:17,865","00:19:21,951"
87,"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity","Sehen Sie, wenn ich nicht mit diesem Ring begraben bin, wird mein Geist für alle Ewigkeit durch die Unterwelt wandern","Wenn ich nicht mit diesem Ring begraben werde, wird mein Geist für alle Ewigkeit in der Unterwelt umherwandern.",Phoebe,neutral,neutral,8,1,6,23,"00:19:17,865","00:19:25,204"
88,"Okay, that’s enough honey!","Okay, das ist genug Honig!","Okay, das reicht, Schatz!",Chandler,neutral,neutral,8,2,6,23,"00:19:25,372","00:19:26,706"
89,I don’t know.  Let me see the ring.,Ich weiß es nicht. Lass mich den Ring sehen.,"Ich weiß nicht, was ich tun soll.  Lass mich den Ring sehen.",Customer,neutral,neutral,8,3,6,23,"00:19:28,375","00:19:34,964"
90,"Great! Okay, here.","Groß! Gut, hier.","Na toll. Okay, hier.",Chandler,joy,positive,8,4,6,23,"00:19:32,129","00:19:34,964"
91,All right.,Alles klar.,"Ja, gut.",Customer,neutral,neutral,8,5,6,23,"0:19:37,342","0:19:39,934"
92,Thank you. Thank you. Thank you!  And,Vielen Dank. Vielen Dank. Vielen Dank! Und,Ich danke Ihnen. Ich danke Ihnen. Ich danke euch!  Und,Chandler,joy,positive,8,6,6,23,"0:19:39,934","0:19:40,074"
93,What've you been up to?,Was hast du vor?,Was hast du denn so getrieben?,Chandler,neutral,neutral,9,0,2,5,"00:01:51,903","00:01:54,738"
94,"Oh, you know, the usual, teaching aerobics, partying way too much.","Oh, weißt du, das Übliche, Aerobic unterrichten, viel zu viel feiern.","Oh, du weißt schon, das Übliche, Aerobic unterrichten, viel zu viel Party machen.",Jade,neutral,neutral,9,1,2,5,"00:01:54,948","00:02:01,203"
95,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.","Oh, und falls Sie sich fragen sollten, das sind meine Beine auf dem neuen James-Bond-Poster.","Oh, und falls du dich wunderst, das sind meine Beine auf dem neuen James Bond Poster.",Jade,neutral,neutral,9,2,2,5,"00:02:01,621","00:02:07,459"
96,Can you hold on a moment? I have another call.  I love her.,Kannst du einen Moment durchhalten? Ich habe einen anderen Anruf. Ich liebe sie.,Kannst du einen Moment dranbleiben? Ich habe noch einen Anruf.  Ich liebe sie.,Chandler,joy,positive,9,3,2,5,"00:02:10,547","00:02:14,758"
97,I know.,Ich weiß.,"Ja, ich weiß.",Ross,neutral,neutral,9,4,2,5,"00:02:13,091","00:02:14,758"
98,I'm back.,Ich bin wieder da.,Ich bin wieder da.,Chandler,neutral,neutral,9,5,2,5,"0:02:16,261","0:02:16,903"
99,"So, are we gonna get together or what?","Also, werden wir uns treffen oder was?","Also, kommen wir jetzt zusammen oder was?",Jade,neutral,neutral,9,6,2,5,"0:02:16,903","0:02:19,185"
100,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?","Ähm, absolut. Äh, wie wäre es morgen Nachmittag? Weißt du, äh, Central Perk in the Village, sagen wir, fünf?","Ähm, auf jeden Fall. Äh, wie wär's mit morgen Nachmittag? Kennst du, äh, Central Perk im Village, sagen wir, so gegen fünf?",Chandler,neutral,neutral,9,7,2,5,"00:02:19,347","00:02:25,561"
101,"Great, I'll see you then.","Super, wir sehen uns dann.","Großartig, wir sehen uns dann.",Jade,neutral,neutral,9,8,2,5,"00:02:25,770","00:02:28,647"
102,Ok.  Ok. Having a phone has finally paid off.,OK. OK. Endlich hat sich ein Telefon gelohnt.,"Gut.  Okay. Okay. Ein Telefon zu haben, hat sich endlich ausgezahlt.",Chandler,joy,positive,9,9,2,5,"00:02:32,318","00:02:34,528"
103,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""","Auch wenn du einen guten Bob-Eindruck machst, denke ich, wenn sie dich morgen sieht, wird sie wahrscheinlich merken: ""Hey, du bist nicht Bob.""","Auch wenn du Bob gut imitierst, wenn sie dich morgen sieht, merkt sie: ""Du bist nicht Bob.""",Ross,neutral,neutral,9,10,2,5,"00:02:36,823","00:02:43,620"
104,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.","Ich hoffe, dass Bob, wenn er nicht auftaucht, Trost in den offenen Armen des trockenen Fremden am Nebentisch sucht.","Ich hoffe, dass sie, wenn Bob nicht auftaucht, Trost in den offenen Armen des schrägen Fremden am Nebentisch suchen wird.",Chandler,neutral,neutral,9,11,2,5,"00:02:47,375","00:02:52,337"
105,Oh my god. You are pure evil.,Oh mein Gott. Du bist das pure Böse.,"Oh, mein Gott. Du bist das pure Böse.",Ross,disgust,negative,9,12,2,5,"00:02:52,547","00:02:55,299"
106,"Ok, pure evil , horny and alone . I've done this","Ok, das pure Böse, geil und allein. Ich habe das getan","Ok, das reine Böse, geil und allein. Ich habe das getan.",Chandler,anger,negative,9,13,2,5,"00:02:56,634","00:03:05,058"
107,Nobody!,Niemand!,Niemand!,Phoebe,anger,negative,10,0,5,10,"0:11:57,091","0:11:58,551"
108,Nobody respects the bucket!,Niemand respektiert den Eimer!,Niemand hat Respekt vor dem Eimer!,Phoebe,anger,negative,10,1,5,10,"0:11:58,551","0:11:59,947"
109,You wouldn't believe what people put in here!,"Du würdest nicht glauben, was die Leute hier reinstecken!","Du würdest nicht glauben, was die Leute hier reintun!",Phoebe,anger,negative,10,2,5,10,"00:12:00,553","00:12:02,721"
110,Look!,Aussehen!,Guck mal!,Phoebe,anger,negative,10,3,5,10,"00:12:02,888","00:12:04,597"
111,"Okay, does this look like a garbage can to you?","Okay, sieht das für dich wie eine Mülltonne aus?","Okay, sieht das aus wie ein Mülleimer für Sie?",Phoebe,anger,negative,10,4,5,10,"00:12:02,888","00:12:07,016"
112,No.,Nein.,Nein.,Monica,neutral,neutral,10,5,5,10,"00:12:04,765","00:12:07,016"
113,This is my wedding.,Das ist meine Hochzeit.,Dies ist meine Hochzeit.,Ross,neutral,neutral,11,0,4,23,"00:03:10,815","00:03:12,024"
114,"All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!","Alles klar, weißt du was? Wir sind wirklich spät dran! Lass uns gehen! Lass uns gehen! Lass uns gehen!!","Alles klar, weißt du was? Wir sind wirklich spät dran! Los geht's! Los geht's! Los geht's! Los geht's!!",Monica,anger,negative,11,1,4,23,"00:03:13,318","00:03:16,737"
115,Fine. You’ll-you’ll watch it on video when we get back.,"Fein. Sie werden es auf Video sehen, wenn wir zurück sind.","Na schön. Du wirst... du wirst es auf Video sehen, wenn wir zurückkommen.",Ross,neutral,neutral,11,2,4,23,"00:03:18,781","00:03:21,491"
116,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,Hier gehst du Phoebe! Los geht's Phobo! Puhbedo! Phaybobo.,"Hier, bitte, Phoebe! Hier, bitte, Phobo! Puhbedo! Phaybobo.",Chandler,joy,positive,11,3,4,23,"00:03:22,869","00:03:25,704"
117,Thank you.,Vielen Dank.,Ich danke euch.,Phoebe,neutral,neutral,11,4,4,23,"0:03:27,790","0:03:28,791"
118,Thank you.,Vielen Dank.,Ich danke euch.,Phoebe,neutral,neutral,11,5,4,23,"0:03:28,791","0:03:28,931"
119,"All right, let’s go! Bye, Pheebs!","Ok, los geht es! Tschüss, Pheebs!","Alles klar, los geht's! Bye, Pheebs!",Ross,joy,positive,11,6,4,23,"00:03:32,503","00:03:34,463"
120,"Bye, Pheebs!","Tschüss, Pheebs!","Bye, Pheebs!",Joey,joy,positive,11,7,4,23,"00:03:34,631","00:03:36,340"
121,London baby!!,London-Baby!!,London Baby!!,Joey,joy,positive,11,8,4,23,"00:03:40,803","00:03:42,554"
122,"Oh, do you need a hug? You don’t have to bring me anything!","Oh, brauchst du eine Umarmung? Du musst mir nichts mitbringen!","Oh, brauchen Sie eine Umarmung? Sie müssen nicht, mir etwas zu bringen!",Phoebe,joy,positive,11,9,4,23,"00:03:44,849","00:03:51,563"
123,Hey!,Hallo!,Hey! Hey!,Chandler,neutral,neutral,12,0,6,4,"00:09:47,295","00:09:49,045"
124,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time.,Hallo! Also hat Estelle morgen ein paar Castings für mich organisiert und ich habe meine Krankenversicherung in kürzester Zeit wieder.,"Hey! Estelle hat mir für morgen ein paar Vorsprechen besorgt, und ich bin wieder krankenversichert.",Joey,joy,positive,12,1,6,4,"00:09:47,295","00:09:56,177"
125,"That’s great, but shouldn’t you be on the toilet right now?","Das ist toll, aber solltest du jetzt nicht auf der Toilette sein?","Das ist toll, aber solltest du nicht gerade auf der Toilette sein?",Chandler,disgust,negative,12,2,6,4,"00:09:57,346","00:10:00,890"
126,What?!,Was?!,Was?!,Joey,surprise,negative,12,3,6,4,"0:10:04,312","0:10:05,647"
127,What’s wrong with you?,Was fehlt dir?,Was ist denn mit dir los?,Chandler,disgust,negative,12,4,6,4,"0:10:05,647","0:10:06,929"
128,Nothing!,Nichts!,Gar nichts!,Joey,neutral,neutral,12,5,6,4,"00:10:07,023","00:10:08,023"
129,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.","Nun, ich-ich habe diesen stechenden Schmerz in meinem Bauch bekommen, als ich vorher Gewichte gehoben habe, dann bin ich ohnmächtig geworden und äh, seitdem kann ich nicht mehr aufstehen.","Nun, ich... ich bekam diesen blendenden Schmerz in meinem Bauch, als ich vorhin Gewichte gestemmt habe, dann wurde ich ohnmächtig und äh, konnte seitdem nicht mehr aufstehen.",Joey,fear,negative,12,6,6,4,"00:10:08,190","00:10:18,575"
130,"But um, I don’t think it’s anything serious.","Aber ähm, ich glaube nicht, dass es etwas Ernstes ist.","Aber ähm, ich denke nicht, dass es etwas Ernstes ist.",Joey,neutral,neutral,12,7,6,4,"00:10:18,743","00:10:21,536"
131,This sounds like a hernia. You have to—you-you go to the doctor!,Das hört sich nach einer Hernie an. Sie müssen – Sie – Sie gehen zum Arzt!,Das klingt wie ein Leistenbruch. Du musst... du... du musst zum Arzt gehen!,Chandler,surprise,negative,12,8,6,4,"00:10:21,704","00:10:24,706"
132,"No way! ‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!","Auf keinen Fall! „Kay, schau, wenn ich wegen irgendetwas zum Arzt muss, dann wegen dieses Dings, das mir aus dem Magen ragt!","Auf keinen Fall! Wenn ich wegen irgendwas zum Arzt muss, dann wegen diesem Ding, das aus meinem Bauch ragt!",Joey,fear,negative,12,9,6,4,"00:10:24,874","00:10:31,463"
133,That’s a hernia.,Das ist eine Hernie.,Das ist ein Leistenbruch.,Chandler,disgust,negative,12,10,6,4,"00:10:34,842","00:10:36,009"
134,Why did I have to start working out again?  Damn you 15s!,Warum musste ich wieder mit dem Training anfangen? Verdammt du 15!,"Warum musste ich wieder anfangen zu trainieren?  Verdammt, ihr 15er!",Joey,anger,negative,12,11,6,4,"00:10:36,177","00:10:41,556"
