,sr no.,utterance,utterance_de,speaker,emotion,sentiment,dialogue_id,utterance_id,season,episode,starttime,endtime
58,62,Ameri-can.,Amerikanisch.,Phoebe,neutral,neutral,5,0,3,15,"0:22:18,545","0:22:20,297"
59,63,Ameri-ccan.,Amerikanisch.,Joey,neutral,neutral,5,1,3,15,"0:22:20,297","0:22:20,476"
60,64,Ameri-can. Y'know it’s a,"Amerikanisch. Weißt du, es ist ein",Phoebe,neutral,neutral,5,2,3,15,"00:22:20,589","00:22:23,507"
61,65,Everybody!!,Jeder!!,Sergei,surprise,positive,5,3,3,15,"00:22:25,844","00:22:28,679"
62,66,Good job Joe! Well done! Top notch!,"Gute Arbeit, Joe! Gut gemacht! Erstklassig, spitzenmäßig!",Chandler,joy,positive,6,0,8,22,"00:12:24,315","00:12:27,526"
63,67,You liked it? You really liked it?,Du mochtest es? Hat es dir wirklich gut gefallen?,Joey,surprise,positive,6,1,8,22,"0:12:28,194","0:12:29,796"
64,68,"Oh-ho-ho, yeah!","Oh-ho-ho, ja!",Chandler,joy,positive,6,2,8,22,"0:12:29,796","0:12:31,501"
65,69,Which part exactly?,Welches Teil genau?,Joey,neutral,neutral,6,3,8,22,"0:12:31,655","0:12:33,657"
66,70,The whole thing! Can we go?,Das ganze Ding! Können wir gehen?,Chandler,neutral,neutral,6,4,8,22,"0:12:33,657","0:12:36,243"
67,71,"Oh no-no-no, give me some specifics.","Oh nein-nein-nein, gib mir ein paar Einzelheiten.",Joey,anger,negative,6,5,8,22,"00:12:36,368","00:12:38,746"
68,72,"I love the specifics, the specifics were the best part!","Ich liebe die Besonderheiten, die Besonderheiten waren das Beste!",Chandler,joy,positive,6,6,8,22,"00:12:38,954","00:12:43,000"
69,73,"Hey, what about the scene with the kangaroo? Did-did you like that part?","Hey, was ist mit der Szene mit dem Känguru? Hat dir dieser Teil gefallen?",Joey,neutral,neutral,6,7,8,22,"00:12:43,209","00:12:48,255"
70,74,I was surprised to see a kangaroo in a World War I epic.,"Ich war überrascht, ein Känguru in einem Epos des Ersten Weltkriegs zu sehen.",Chandler,surprise,negative,6,8,8,22,"00:12:49,298","00:12:54,929"
71,75,You fell asleep!!,Du bist eingeschlafen!!,Joey,anger,negative,6,9,8,22,"00:12:55,930","00:12:56,931"
72,76,There was no kangaroo!,Es gab kein Känguru!,Joey,anger,negative,6,10,8,22,"0:12:58,432","0:12:59,809"
73,77,They didn’t take any of my suggestions!,Sie haben keinen meiner Vorschläge angenommen!,Joey,anger,negative,6,11,8,22,"0:12:59,809","0:13:03,196"
74,78,That’s for coming buddy.,Das ist für den kommenden Kumpel.,Joey,neutral,neutral,6,12,8,22,"0:13:05,940","0:13:07,242"
75,79,I’ll see you later.,Wir sehen uns später.,Joey,neutral,neutral,6,13,8,22,"0:13:07,242","0:13:08,202"
76,80,Don’t go!,Geh nicht!,Chandler,sadness,negative,6,14,8,22,"0:13:08,202","0:13:08,804"
77,81,I’m sorry.,Es tut mir Leid.,Chandler,sadness,negative,6,15,8,22,"0:13:08,804","0:13:09,526"
78,82,I’m so sorry!,Es tut mir Leid!,Chandler,sadness,negative,6,16,8,22,"0:13:09,526","0:13:10,832"
79,83,Look!,Aussehen!,Chandler,surprise,negative,6,17,8,22,"0:13:10,945","0:13:11,407"
80,84,This guy fell asleep!,Dieser Typ ist eingeschlafen!,Chandler,anger,negative,6,18,8,22,"0:13:11,407","0:13:12,589"
81,85,He fell asleep too!,Er ist auch eingeschlafen!,Chandler,anger,negative,6,19,8,22,"0:13:12,589","0:13:13,215"
82,86,Be mad at him!,Sei sauer auf ihn!,Chandler,anger,negative,6,20,8,22,"0:13:13,215","0:13:14,108"
83,87,"Or, call an ambulance.",Oder rufen Sie einen Krankenwagen.,Chandler,anger,negative,6,21,8,22,"00:13:16,367","00:13:18,244"
84,88,"Okay, look, I think we have to tell Rachel she messed up her dessert.","Okay, schau, ich glaube, wir müssen Rachel sagen, dass sie ihr Dessert vermasselt hat.",Joey,neutral,neutral,7,0,6,9,"00:12:51,020","00:12:53,897"
85,89,"What?! What is with everybody? It’s Thanksgiving, not...Truth-Day!","Was?! Was ist mit allen? Es ist Thanksgiving, nicht ... Tag der Wahrheit!",Ross,anger,negative,7,1,6,9,"00:12:54,106","00:12:58,193"
86,90,"Yes, and it is my dying wish to have that ring.","Ja, und es ist mein sterbender Wunsch, diesen Ring zu haben.",Phoebe,neutral,neutral,8,0,6,23,"00:19:17,865","00:19:21,951"
87,91,"See, if I’m not buried with that ring then my spirit is going to wander the nether world for all eternity","Sehen Sie, wenn ich nicht mit diesem Ring begraben bin, wird mein Geist für alle Ewigkeit durch die Unterwelt wandern",Phoebe,neutral,neutral,8,1,6,23,"00:19:17,865","00:19:25,204"
88,92,"Okay, that’s enough honey!","Okay, das ist genug Honig!",Chandler,neutral,neutral,8,2,6,23,"00:19:25,372","00:19:26,706"
89,93,I don’t know.  Let me see the ring.,Ich weiß es nicht. Lass mich den Ring sehen.,Customer,neutral,neutral,8,3,6,23,"00:19:28,375","00:19:34,964"
90,94,"Great! Okay, here.","Groß! Gut, hier.",Chandler,joy,positive,8,4,6,23,"00:19:32,129","00:19:34,964"
91,95,All right.,Alles klar.,Customer,neutral,neutral,8,5,6,23,"0:19:37,342","0:19:39,934"
92,96,Thank you. Thank you. Thank you!  And,Vielen Dank. Vielen Dank. Vielen Dank! Und,Chandler,joy,positive,8,6,6,23,"0:19:39,934","0:19:40,074"
93,97,What've you been up to?,Was hast du vor?,Chandler,neutral,neutral,9,0,2,5,"00:01:51,903","00:01:54,738"
94,98,"Oh, you know, the usual, teaching aerobics, partying way too much.","Oh, weißt du, das Übliche, Aerobic unterrichten, viel zu viel feiern.",Jade,neutral,neutral,9,1,2,5,"00:01:54,948","00:02:01,203"
95,99,"Oh, and in case you were wondering, those are my legs on the new James Bond poster.","Oh, und falls Sie sich fragen sollten, das sind meine Beine auf dem neuen James-Bond-Poster.",Jade,neutral,neutral,9,2,2,5,"00:02:01,621","00:02:07,459"
96,100,Can you hold on a moment? I have another call.  I love her.,Kannst du einen Moment durchhalten? Ich habe einen anderen Anruf. Ich liebe sie.,Chandler,joy,positive,9,3,2,5,"00:02:10,547","00:02:14,758"
97,101,I know.,Ich weiß.,Ross,neutral,neutral,9,4,2,5,"00:02:13,091","00:02:14,758"
98,102,I'm back.,Ich bin wieder da.,Chandler,neutral,neutral,9,5,2,5,"0:02:16,261","0:02:16,903"
99,103,"So, are we gonna get together or what?","Also, werden wir uns treffen oder was?",Jade,neutral,neutral,9,6,2,5,"0:02:16,903","0:02:19,185"
100,104,"Um, absolutely. Uh, how 'bout tomorrow afternoon? Do you know uh, Central Perk in the Village, say, five-ish?","Ähm, absolut. Äh, wie wäre es morgen Nachmittag? Weißt du, äh, Central Perk in the Village, sagen wir, fünf?",Chandler,neutral,neutral,9,7,2,5,"00:02:19,347","00:02:25,561"
101,105,"Great, I'll see you then.","Super, wir sehen uns dann.",Jade,neutral,neutral,9,8,2,5,"00:02:25,770","00:02:28,647"
102,106,Ok.  Ok. Having a phone has finally paid off.,OK. OK. Endlich hat sich ein Telefon gelohnt.,Chandler,joy,positive,9,9,2,5,"00:02:32,318","00:02:34,528"
103,107,"Even though you do do a good Bob impression, I'm thinkin' when she sees you tomorow, she's probably gonna realize, ""Hey, you're not Bob.""","Auch wenn du einen guten Bob-Eindruck machst, denke ich, wenn sie dich morgen sieht, wird sie wahrscheinlich merken: ""Hey, du bist nicht Bob.""",Ross,neutral,neutral,9,10,2,5,"00:02:36,823","00:02:43,620"
104,108,"I'm hoping that when Bob doesn't show up, she will seek comfort in the open arms of the wry stranger at the next table.","Ich hoffe, dass Bob, wenn er nicht auftaucht, Trost in den offenen Armen des trockenen Fremden am Nebentisch sucht.",Chandler,neutral,neutral,9,11,2,5,"00:02:47,375","00:02:52,337"
105,109,Oh my god. You are pure evil.,Oh mein Gott. Du bist das pure Böse.,Ross,disgust,negative,9,12,2,5,"00:02:52,547","00:02:55,299"
106,110,"Ok, pure evil , horny and alone . I've done this","Ok, das pure Böse, geil und allein. Ich habe das getan",Chandler,anger,negative,9,13,2,5,"00:02:56,634","00:03:05,058"
107,111,Nobody!,Niemand!,Phoebe,anger,negative,10,0,5,10,"0:11:57,091","0:11:58,551"
108,112,Nobody respects the bucket!,Niemand respektiert den Eimer!,Phoebe,anger,negative,10,1,5,10,"0:11:58,551","0:11:59,947"
109,113,You wouldn't believe what people put in here!,"Du würdest nicht glauben, was die Leute hier reinstecken!",Phoebe,anger,negative,10,2,5,10,"00:12:00,553","00:12:02,721"
110,114,Look!,Aussehen!,Phoebe,anger,negative,10,3,5,10,"00:12:02,888","00:12:04,597"
111,115,"Okay, does this look like a garbage can to you?","Okay, sieht das für dich wie eine Mülltonne aus?",Phoebe,anger,negative,10,4,5,10,"00:12:02,888","00:12:07,016"
112,116,No.,Nein.,Monica,neutral,neutral,10,5,5,10,"00:12:04,765","00:12:07,016"
113,117,This is my wedding.,Das ist meine Hochzeit.,Ross,neutral,neutral,11,0,4,23,"00:03:10,815","00:03:12,024"
114,118,"All right, y’know what? We really are late! Let’s go! Let’s go! Let’s go!!","Alles klar, weißt du was? Wir sind wirklich spät dran! Lass uns gehen! Lass uns gehen! Lass uns gehen!!",Monica,anger,negative,11,1,4,23,"00:03:13,318","00:03:16,737"
115,119,Fine. You’ll-you’ll watch it on video when we get back.,"Fein. Sie werden es auf Video sehen, wenn wir zurück sind.",Ross,neutral,neutral,11,2,4,23,"00:03:18,781","00:03:21,491"
116,120,Here you go Phoebe! Here you go Phobo! Phewbedo! Phaybobo.,Hier gehst du Phoebe! Los geht's Phobo! Puhbedo! Phaybobo.,Chandler,joy,positive,11,3,4,23,"00:03:22,869","00:03:25,704"
117,121,Thank you.,Vielen Dank.,Phoebe,neutral,neutral,11,4,4,23,"0:03:27,790","0:03:28,791"
118,122,Thank you.,Vielen Dank.,Phoebe,neutral,neutral,11,5,4,23,"0:03:28,791","0:03:28,931"
119,123,"All right, let’s go! Bye, Pheebs!","Ok, los geht es! Tschüss, Pheebs!",Ross,joy,positive,11,6,4,23,"00:03:32,503","00:03:34,463"
120,124,"Bye, Pheebs!","Tschüss, Pheebs!",Joey,joy,positive,11,7,4,23,"00:03:34,631","00:03:36,340"
121,125,London baby!!,London-Baby!!,Joey,joy,positive,11,8,4,23,"00:03:40,803","00:03:42,554"
122,126,"Oh, do you need a hug? You don’t have to bring me anything!","Oh, brauchst du eine Umarmung? Du musst mir nichts mitbringen!",Phoebe,joy,positive,11,9,4,23,"00:03:44,849","00:03:51,563"
123,127,Hey!,Hallo!,Chandler,neutral,neutral,12,0,6,4,"00:09:47,295","00:09:49,045"
124,128,Hey! So Estelle lined up a bunch of auditions for me tomorrow and I’ll have my health insurance back in no time.,Hallo! Also hat Estelle morgen ein paar Castings für mich organisiert und ich habe meine Krankenversicherung in kürzester Zeit wieder.,Joey,joy,positive,12,1,6,4,"00:09:47,295","00:09:56,177"
125,129,"That’s great, but shouldn’t you be on the toilet right now?","Das ist toll, aber solltest du jetzt nicht auf der Toilette sein?",Chandler,disgust,negative,12,2,6,4,"00:09:57,346","00:10:00,890"
126,130,What?!,Was?!,Joey,surprise,negative,12,3,6,4,"0:10:04,312","0:10:05,647"
127,131,What’s wrong with you?,Was fehlt dir?,Chandler,disgust,negative,12,4,6,4,"0:10:05,647","0:10:06,929"
128,132,Nothing!,Nichts!,Joey,neutral,neutral,12,5,6,4,"00:10:07,023","00:10:08,023"
129,133,"Well, I-I got this blinding pain in my stomach when I was lifting weights before, then I uh passed out and uh, haven’t been able to stand up since.","Nun, ich-ich habe diesen stechenden Schmerz in meinem Bauch bekommen, als ich vorher Gewichte gehoben habe, dann bin ich ohnmächtig geworden und äh, seitdem kann ich nicht mehr aufstehen.",Joey,fear,negative,12,6,6,4,"00:10:08,190","00:10:18,575"
130,134,"But um, I don’t think it’s anything serious.","Aber ähm, ich glaube nicht, dass es etwas Ernstes ist.",Joey,neutral,neutral,12,7,6,4,"00:10:18,743","00:10:21,536"
131,135,This sounds like a hernia. You have to—you-you go to the doctor!,Das hört sich nach einer Hernie an. Sie müssen – Sie – Sie gehen zum Arzt!,Chandler,surprise,negative,12,8,6,4,"00:10:21,704","00:10:24,706"
132,136,"No way! ‘Kay look, if I have to go to the doctor for anything it’s gonna be for this thing sticking out of my stomach!","Auf keinen Fall! „Kay, schau, wenn ich wegen irgendetwas zum Arzt muss, dann wegen dieses Dings, das mir aus dem Magen ragt!",Joey,fear,negative,12,9,6,4,"00:10:24,874","00:10:31,463"
133,137,That’s a hernia.,Das ist eine Hernie.,Chandler,disgust,negative,12,10,6,4,"00:10:34,842","00:10:36,009"
134,138,Why did I have to start working out again?  Damn you 15s!,Warum musste ich wieder mit dem Training anfangen? Verdammt du 15!,Joey,anger,negative,12,11,6,4,"00:10:36,177","00:10:41,556"
135,139,I love your place! Where is this guy from?,Ich liebe deinen Platz! Woher kommt dieser Typ?,Mona,joy,positive,13,0,8,8,"00:10:36,844","00:10:40,930"
136,140,Uh that’s an eighteenth century Indian artifact from Calcutta.,Das ist ein indisches Artefakt aus dem 18. Jahrhundert aus Kalkutta.,Ross,neutral,neutral,13,1,8,8,"00:10:41,098","00:10:50,899"
137,141,"Oh wow! So, you’re more than just dinosaurs.",Oh wow! Sie sind also mehr als nur Dinosaurier.,Mona,surprise,positive,13,2,8,8,"00:10:44,894","00:10:50,899"
138,142,So much more.,So viel mehr.,Ross,neutral,neutral,13,3,8,8,"00:10:51,567","00:10:53,485"
139,143,"Well, well to sum up, we’re having fun, you look young.","Nun, gut zusammengefasst, wir haben Spaß, du siehst jung aus.",Ross,neutral,neutral,14,0,8,11,"00:13:42,112","00:13:53,456"
140,144,Okay,okay,Mona,neutral,neutral,14,1,8,11,"00:13:57,253","00:14:00,171"
141,145,But that’s not enough. So… So…here’s a key to my apartment.,Aber das reicht nicht. Also... Also... hier ist ein Schlüssel zu meiner Wohnung.,Ross,neutral,neutral,14,2,8,11,"00:13:57,253","00:14:06,135"
142,146,Really?!,Ja wirklich?!,Mona,surprise,positive,14,3,8,11,"0:14:12,184","0:14:14,986"
143,147,Really.,Ja wirklich.,Ross,neutral,neutral,14,4,8,11,"0:14:14,986","0:14:15,320"
144,148,You don’t think this is too fast.,"Sie denken nicht, dass das zu schnell ist.",Mona,neutral,neutral,14,5,8,11,"00:14:16,897","00:14:20,316"
145,149,Get Out!,Aussteigen!,Ross,anger,negative,15,0,9,23,"00:42:09,652","00:42:13,488"
146,150,"Ross, can I talk to you for a minute?","Ross, kann ich kurz mit dir reden?",Charlie,neutral,neutral,15,1,9,23,"00:42:15,032","00:42:16,908"
147,151,"Yes, please!  So, what's going on?",Ja bitte! So was ist los?,Ross,neutral,neutral,15,2,9,23,"00:42:17,117","00:42:23,998"
148,152,"Uh, well... Joey and I broke up.","Äh, nun... Joey und ich haben uns getrennt.",Charlie,sadness,negative,15,3,9,23,"00:42:26,126","00:42:29,754"
149,153,"Oh my God, wh-what happened?","Oh mein Gott, was ist passiert?",Ross,surprise,negative,15,4,9,23,"00:42:30,464","00:42:35,885"
150,154,"Joey is a great guy, but we're just... so different! I mean, during your speech he kept laughing at homo erectus!","Joey ist ein toller Kerl, aber wir sind einfach... so anders! Ich meine, während Ihrer Rede hat er immer wieder über den Homo erectus gelacht!",Charlie,sadness,negative,15,5,9,23,"00:42:36,053","00:42:44,561"
151,155,I knew that was him!,"Ich wusste, das ist er!",Ross,anger,negative,15,6,9,23,"00:42:42,059","00:42:44,561"
152,156,"Anyway I just, uh, I think it's for the best.","Wie auch immer, ich denke, es ist das Beste.",Charlie,sadness,negative,15,7,9,23,"00:42:46,313","00:42:50,108"
153,157,"Hey, you ok?","He, geht es dir gut?",Ross,neutral,neutral,15,8,9,23,"0:42:51,068","0:42:52,950"
154,158,I guess.,Ich vermute.,Charlie,sadness,negative,15,9,9,23,"0:42:52,950","0:42:55,208"
155,159,There was hum...  there was another reason that I thought it was time to end it with Joey.,"Da war ein Summen... es gab noch einen weiteren Grund, warum ich dachte, es sei an der Zeit, es mit Joey zu beenden.",Charlie,neutral,neutral,15,10,9,23,"00:42:57,866","00:43:05,915"
156,160,I started to realize that I was having feelings for someone  else.,"Mir wurde klar, dass ich Gefühle für jemand anderen hatte.",Charlie,neutral,neutral,15,11,9,23,"00:43:06,667","00:43:12,547"
157,161,"Ok Geller. Last day of the conference, you know what happens to the keynote speaker.","Ok Geller. Letzter Tag der Konferenz, Sie wissen, was mit dem Hauptredner passiert.",Paleontologist,neutral,neutral,15,12,9,23,"00:43:14,174","00:43:19,220"
158,162,"Oh, professor Clerk we're kind of in the middle of a conversation, here.","Oh, Professor Clerk, wir sind hier mitten in einem Gespräch.",Ross,neutral,neutral,15,13,9,23,"00:43:19,388","00:43:22,765"
159,163,"Yeah, can you guys just throw him in the pool later?","Ja, könnt ihr ihn später einfach in den Pool werfen?",Charlie,neutral,neutral,15,14,9,23,"0:43:22,933","0:43:24,905"
160,164,Or we could throw you both in,Oder wir könnten euch beide reinwerfen,Professore Clerk,joy,positive,15,15,9,23,"0:43:24,905","0:43:27,073"
161,165,"Ok, gentlemen!","Okay, meine Herren!",Ross,anger,negative,15,16,9,23,"0:43:27,187","0:43:28,147"
162,166,Please!,Bitte!,Ross,anger,negative,15,17,9,23,"0:43:28,147","0:43:28,699"
163,167,Aren't we a little old for this?,Sind wir nicht ein bisschen alt dafür?,Ross,anger,negative,15,18,9,23,"0:43:28,699","0:43:30,985"
164,168,"I mean, we're scientists, right?","Ich meine, wir sind Wissenschaftler, oder?",Ross,neutral,neutral,15,19,9,23,"0:43:31,066","0:43:32,788"
165,169,We're academics.,Wir sind Akademiker.,Ross,anger,negative,15,20,9,23,"0:43:32,788","0:43:33,798"
166,170,And most importantly I... you-you will have to catch us first.,"Und am wichtigsten, ich... du-du musst uns zuerst fangen.",Ross,joy,positive,15,21,9,23,"00:43:33,902","00:43:37,780"
167,172,"GO, GO, GO!",GEH! GEH! GEH!,Ross,joy,positive,15,22,9,23,"00:43:37,948","00:43:40,366"
168,173,"Go, go, go!",Geh! Geh! Geh!,Ross,joy,positive,16,0,3,25,"00:04:41,197","00:04:42,239"
169,174,"Oh yeah, now everybody wants to be under this hat!","Oh ja, jetzt will jeder unter diesem Hut sein!",Rachel,joy,positive,16,1,3,25,"00:04:42,407","00:04:44,574"
170,175,Oy!!,Oje!!,Phoebe,disgust,negative,16,2,3,25,"00:04:49,455","00:04:50,747"
171,176,What’s with all this sand?,Was ist mit all diesem Sand?,Monica,surprise,negative,16,3,3,25,"00:04:52,333","00:04:54,001"
